Online boarding,Inflight wifi service,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Age,Flight Distance,Seat comfort,Class
4,2,1,4,1,3,49,2974,4,3
5,3,1,5,1,4,45,1464,4,3
1,1,1,3,0,3,28,448,3,3
5,4,1,4,1,4,57,696,4,3
2,2,0,2,1,3,32,541,5,1
5,5,1,5,1,4,25,628,4,2
4,4,0,1,1,5,33,677,1,1
2,2,1,3,0,4,23,152,3,2
2,5,1,4,1,2,59,442,1,3
5,5,1,5,0,5,19,994,5,3
5,5,1,5,1,4,23,612,5,3
4,4,1,4,1,4,46,3064,4,3
2,5,1,5,1,4,52,954,1,1
4,2,1,2,1,1,34,3364,4,3
4,4,0,4,1,4,46,843,4,1
1,1,0,1,1,3,56,787,1,1
5,2,1,5,1,5,58,3266,5,3
4,4,1,3,0,4,36,214,5,3
3,3,1,3,0,5,37,814,3,3
4,4,1,4,1,1,54,583,4,1
4,4,1,4,1,2,35,112,4,1
4,2,1,2,1,4,34,2506,4,3
5,4,1,5,1,4,41,1635,4,3
5,5,1,1,0,2,18,239,1,1
4,1,0,4,1,3,43,404,5,3
2,2,0,2,1,3,28,781,2,1
4,4,0,2,1,5,30,270,5,1
4,5,1,4,1,5,42,3358,4,3
3,5,1,4,0,3,21,824,3,1
2,2,0,5,1,5,59,468,3,1
5,2,0,5,1,3,8,2615,3,1
2,2,1,2,1,1,47,191,2,1
2,2,1,4,0,2,39,84,4,1
4,4,0,3,1,5,49,427,5,2
5,5,1,3,0,3,48,302,3,1
5,0,1,5,1,5,46,3407,5,3
5,1,1,4,1,3,48,1506,5,3
2,4,1,5,1,2,58,1810,2,3
2,2,1,1,0,1,22,1029,1,1
4,4,1,4,1,2,51,86,4,1
2,2,1,5,0,3,27,287,5,3
5,5,1,5,1,5,42,715,5,1
4,5,0,2,1,5,46,449,5,1
3,3,0,5,1,4,50,1605,5,2
5,4,1,4,1,5,38,368,5,3
5,5,0,5,1,4,17,570,5,1
2,2,1,2,1,2,35,2650,3,3
1,1,1,1,1,3,27,628,1,3
1,1,1,4,0,4,27,928,4,1
4,4,1,3,0,3,21,1587,3,3
5,4,0,1,1,4,57,1608,5,2
5,5,0,2,1,4,37,1619,2,1
1,1,0,5,1,5,32,328,5,2
2,3,1,1,1,3,57,175,3,3
2,5,1,2,1,3,40,2657,1,3
5,5,1,4,0,3,21,248,4,3
5,4,1,4,1,3,57,806,4,3
4,4,1,3,0,5,44,1276,3,3
4,3,0,4,1,4,59,825,2,1
4,3,1,5,1,5,52,1749,5,3
3,3,1,3,1,1,22,102,1,1
5,2,1,4,1,3,40,2243,5,3
4,5,1,4,1,1,60,1035,1,1
4,5,1,4,1,4,59,2358,5,3
3,3,0,1,1,5,45,1475,1,1
3,3,0,3,1,4,28,896,3,1
5,2,0,1,1,4,66,451,1,1
3,3,0,1,1,1,17,1013,1,1
5,4,0,4,1,2,40,2504,4,1
2,2,1,4,0,3,11,1210,4,1
2,3,0,3,1,2,69,1721,3,3
2,2,0,4,1,4,61,404,3,2
2,2,1,4,0,4,64,259,4,3
2,3,1,3,0,1,44,101,3,1
2,3,1,3,1,2,43,3103,3,3
1,2,1,2,0,5,23,1266,2,1
5,4,0,4,1,3,51,297,5,1
5,4,1,5,1,3,49,377,5,3
5,5,1,5,1,3,48,1086,5,1
2,2,0,3,1,4,24,227,3,1
5,3,1,5,1,4,26,1846,5,3
1,1,0,3,1,5,30,692,3,1
5,3,0,2,1,4,59,541,4,1
3,3,0,1,1,3,12,247,1,2
1,1,1,1,1,2,22,2109,1,3
2,2,1,2,1,2,39,783,2,2
5,2,1,4,1,4,60,337,2,3
4,3,1,3,1,4,42,762,4,1
1,3,1,1,0,1,38,319,1,1
5,4,0,4,1,2,46,1204,4,1
3,3,0,1,1,1,68,281,4,1
4,4,0,3,1,3,67,972,3,1
4,0,1,1,1,3,50,235,5,3
4,4,1,4,1,4,28,752,4,3
3,3,0,2,1,4,35,290,2,1
3,5,1,5,1,5,49,1726,4,3
5,3,1,4,1,5,57,2739,4,3
5,5,1,4,1,3,57,646,4,3
5,2,1,3,1,3,35,370,5,3
4,3,1,2,1,5,44,2486,5,3
2,2,1,1,1,5,33,558,1,3
5,1,1,5,1,4,44,458,4,3
3,3,1,4,1,3,45,229,4,2
2,4,0,4,1,3,51,646,3,2
4,5,1,4,1,3,28,3965,4,3
3,3,0,1,1,1,60,409,3,1
5,0,0,2,1,3,54,391,5,1
2,2,0,5,1,2,68,526,1,1
4,4,0,5,1,3,58,761,4,1
3,3,1,5,0,4,37,1096,5,3
3,3,0,5,1,3,20,1947,4,1
5,5,1,5,1,5,58,2354,4,3
5,5,1,5,1,4,22,1947,5,1
5,5,1,5,1,4,37,1069,5,2
3,3,1,3,1,1,30,2896,3,3
2,2,1,5,0,3,32,308,5,3
4,4,1,4,1,5,30,2883,4,3
4,5,1,3,0,5,25,423,3,3
5,2,1,5,1,3,54,1696,4,3
3,5,0,5,1,1,49,425,3,1
2,2,0,2,1,3,39,1055,2,1
2,2,1,1,0,4,38,414,1,3
5,3,1,4,1,4,40,337,4,3
4,4,1,3,1,4,52,3073,5,3
4,3,1,2,1,2,64,202,3,3
4,4,0,1,1,4,63,1201,2,1
5,3,1,4,1,4,42,3044,4,3
1,1,0,4,1,4,29,909,4,1
2,2,0,2,1,2,25,429,2,1
4,2,0,1,1,3,54,726,3,1
3,3,0,4,1,3,38,646,4,1
5,5,1,1,0,3,24,325,1,3
4,4,0,4,1,4,21,257,4,1
5,5,1,4,1,5,41,954,4,1
5,5,1,2,0,5,22,882,2,3
5,3,1,5,1,3,35,404,4,3
5,3,1,3,1,4,59,3397,4,3
4,1,0,4,1,4,28,1744,4,1
2,5,1,3,1,1,47,522,1,3
1,1,0,1,1,5,11,362,1,1
4,5,1,4,1,4,52,1593,5,3
3,3,0,1,1,4,34,507,1,1
4,5,1,5,1,4,35,2704,5,3
4,5,1,5,1,5,56,719,4,3
1,1,1,1,0,3,39,1865,1,3
2,2,1,1,0,2,43,474,1,1
5,1,1,4,1,4,40,2724,5,3
5,2,1,3,1,5,40,1574,5,3
4,1,1,1,1,2,52,507,4,3
5,3,1,3,1,5,42,925,5,3
3,2,0,4,1,5,27,763,2,1
3,3,1,2,0,3,20,408,2,1
4,5,1,4,1,3,46,1590,4,3
4,4,0,2,1,4,50,1242,4,1
5,1,1,2,1,5,39,882,5,3
2,3,1,4,1,1,40,3954,2,3
2,5,0,3,1,1,58,370,3,1
2,2,0,3,1,3,8,160,3,3
5,2,1,4,1,3,54,270,1,3
3,1,1,1,1,2,39,3875,4,3
4,4,1,4,1,3,22,3659,4,3
1,1,1,2,0,1,44,1797,3,1
1,1,1,1,0,3,62,1744,1,3
2,1,1,1,0,3,10,1065,1,1
4,4,1,4,1,5,30,3845,4,3
2,4,1,4,1,3,61,150,3,2
5,3,0,4,1,3,64,541,5,1
4,4,1,4,1,4,44,425,4,3
3,3,0,1,0,3,56,845,1,1
5,3,1,5,1,4,24,3356,5,3
3,3,0,5,1,3,60,1670,5,1
3,2,0,2,1,2,51,594,4,1
5,2,1,5,1,3,53,2054,5,3
3,3,1,4,0,5,27,1237,4,2
4,1,1,1,1,3,39,3313,5,3
3,2,1,2,1,3,59,550,3,3
2,2,1,1,0,2,11,999,1,1
5,5,1,5,1,5,36,802,5,1
3,3,1,2,0,5,38,296,3,1
3,3,0,1,1,5,19,1020,1,2
5,4,0,4,1,4,13,2176,2,1
1,1,1,1,1,3,19,226,1,3
5,2,1,4,1,5,41,328,5,3
3,3,1,3,0,3,24,421,3,1
4,4,0,5,1,1,65,224,5,1
3,3,1,4,0,1,54,375,4,1
4,4,1,4,0,2,26,1303,4,2
2,2,0,1,1,5,29,1310,1,1
2,2,1,2,0,2,18,1219,2,1
1,1,1,4,1,2,34,781,4,3
0,0,1,3,1,4,22,413,3,2
5,3,1,4,1,3,50,2610,5,3
1,1,1,3,0,1,50,234,3,3
5,1,1,5,1,1,24,1617,5,3
3,1,0,4,1,4,55,563,3,1
2,2,0,2,1,5,48,399,2,1
5,5,1,5,1,5,49,3354,4,3
4,4,1,4,1,4,43,205,4,3
2,2,0,1,1,3,22,544,1,1
3,3,1,1,0,5,14,1498,1,1
2,5,1,4,1,4,38,954,5,3
5,4,1,4,1,4,48,1671,4,3
5,2,1,5,1,2,32,3488,5,3
2,2,1,5,0,2,20,583,5,1
2,2,0,1,1,3,64,836,2,1
3,2,1,2,1,1,43,468,2,3
5,5,1,5,1,5,61,329,5,1
4,4,1,4,1,4,30,2586,4,3
3,3,0,4,1,5,13,101,4,1
5,5,1,5,1,4,51,532,5,1
4,1,1,1,1,3,55,488,4,1
4,3,1,5,1,4,44,2059,5,3
5,5,1,5,1,3,36,239,5,1
2,2,1,2,1,3,39,1554,3,3
4,1,1,4,1,4,52,3195,3,3
2,2,0,3,1,4,15,1342,3,1
2,2,1,1,0,3,29,853,1,3
4,4,0,5,1,2,32,821,5,3
5,2,1,4,1,3,58,725,5,3
2,1,1,1,1,3,28,1020,1,1
4,3,0,1,1,4,53,588,3,1
4,4,1,4,1,1,22,397,4,3
2,1,1,1,1,2,42,1846,3,3
3,3,0,4,1,5,7,1258,4,1
5,4,1,5,1,5,43,867,5,3
5,3,1,4,1,4,49,2526,4,3
4,1,1,4,1,5,33,547,4,3
2,2,1,1,0,4,30,641,1,3
0,1,1,2,0,5,26,789,2,1
1,1,1,5,0,2,40,413,1,1
3,3,0,5,1,1,11,209,5,2
4,3,1,4,1,5,36,429,5,3
2,2,1,2,1,4,30,733,2,2
4,2,1,5,1,4,42,3339,5,3
3,3,1,2,0,3,55,1249,2,1
5,5,1,1,0,5,41,1214,1,3
3,3,0,4,1,2,56,366,4,1
2,2,1,2,1,1,41,1190,2,1
2,2,0,2,1,3,11,1598,2,1
5,4,0,5,1,3,52,89,5,1
5,5,1,4,1,4,50,2753,4,3
2,5,1,5,1,5,59,692,3,1
5,5,1,5,1,5,44,109,5,1
4,3,1,5,1,5,46,2736,4,3
4,3,1,5,0,4,21,1108,4,1
2,2,1,4,0,4,56,597,4,1
4,2,1,4,1,4,47,507,5,3
2,3,1,3,1,4,33,2367,2,3
5,2,1,4,1,5,49,2956,5,3
5,2,0,1,1,4,63,581,5,1
3,1,0,3,1,1,60,223,3,2
1,1,1,1,1,4,66,224,1,1
2,2,0,5,1,5,57,628,5,1
1,1,1,1,1,2,45,667,1,1
4,4,0,1,1,3,16,561,1,1
4,2,1,3,1,4,53,1532,4,3
0,0,1,1,0,4,25,1404,1,3
2,2,1,4,0,3,19,576,4,1
5,3,1,4,1,5,57,483,2,3
4,2,1,4,1,3,24,695,4,3
5,2,1,4,1,4,58,3629,5,3
5,3,1,5,1,2,23,3917,5,3
3,4,0,4,1,3,57,125,3,1
2,1,0,1,1,5,40,1635,1,1
4,4,1,4,1,3,55,683,4,3
4,2,1,5,1,5,39,936,4,3
2,2,0,2,1,3,30,472,4,2
1,1,0,3,1,5,53,639,3,1
1,1,0,3,1,5,15,308,3,2
2,2,1,2,0,3,20,1849,2,1
2,2,1,2,1,2,36,1065,2,1
4,4,0,5,1,4,48,576,5,1
2,2,0,1,1,4,50,689,1,1
2,2,1,2,1,1,33,409,2,3
2,2,1,5,0,4,37,265,5,1
0,0,1,1,1,1,32,1092,1,1
1,1,1,2,0,4,24,948,4,1
5,2,1,5,1,3,27,3984,5,3
4,0,1,5,1,4,40,1899,4,3
2,2,0,3,1,3,36,362,3,1
2,2,0,3,1,4,11,543,1,1
2,2,0,4,1,1,58,1009,2,1
3,3,0,5,1,3,15,2075,5,2
3,3,0,3,1,1,32,846,3,3
5,1,1,4,1,3,45,3914,5,3
3,4,1,3,1,4,28,1620,3,3
5,3,1,5,1,5,39,3755,5,3
2,2,1,2,0,4,29,189,2,3
4,1,1,5,1,3,33,3240,5,3
4,5,0,2,1,5,47,674,4,1
2,2,1,4,0,5,27,229,4,3
1,1,1,2,0,1,50,1046,2,2
4,3,1,4,1,5,54,1947,5,3
2,2,0,3,1,1,68,1020,3,1
4,4,1,4,1,3,22,221,4,1
2,2,0,2,1,4,11,312,1,1
2,2,0,3,1,2,51,1069,2,1
5,2,1,4,1,3,42,3828,5,3
3,1,1,5,1,2,50,3433,3,3
3,3,1,3,1,4,35,216,3,2
3,3,0,5,1,4,45,697,4,1
5,2,1,5,1,5,55,2235,5,3
4,4,1,4,1,4,51,457,4,3
3,1,1,1,1,3,42,602,4,1
4,1,1,3,1,4,47,967,5,3
1,1,1,1,1,3,23,3012,1,3
4,4,0,2,1,5,52,639,2,1
1,1,0,4,1,3,19,782,4,1
2,4,0,2,1,3,54,319,2,1
4,1,1,4,1,4,12,3326,4,3
4,0,1,4,1,5,54,1866,5,3
2,2,0,1,1,4,68,651,1,2
1,1,0,4,1,1,46,562,1,1
3,3,1,3,0,2,27,153,3,1
3,4,0,4,1,3,29,416,3,1
3,3,0,2,1,1,60,1546,2,1
4,4,1,4,1,3,56,1547,5,3
3,2,1,2,1,3,30,3720,2,3
3,4,1,4,1,4,44,1521,3,3
5,5,1,5,1,4,61,3850,4,3
4,5,1,4,1,4,37,2681,5,3
1,1,0,4,1,3,35,395,2,1
5,3,0,2,1,3,33,408,2,2
5,4,0,3,1,3,11,2475,3,1
3,2,1,3,1,5,31,1546,3,3
4,3,1,4,1,4,12,2807,4,3
5,4,1,4,1,3,58,651,5,3
4,4,1,4,1,5,51,404,4,3
2,2,1,5,0,3,21,121,1,1
2,2,0,1,1,4,51,1844,2,2
5,2,0,1,1,4,60,404,5,2
4,5,1,5,1,2,23,954,3,1
4,2,0,5,1,3,47,1304,5,1
5,1,1,4,1,5,54,2370,4,3
4,4,1,3,0,5,29,1590,3,3
3,3,0,4,1,3,67,1670,3,1
5,2,1,5,1,5,27,2677,5,3
1,1,1,1,1,1,44,957,1,1
5,5,1,5,1,5,47,1874,5,2
4,4,1,1,1,4,32,503,4,2
3,3,1,4,0,3,25,580,4,1
3,3,1,3,1,3,41,507,2,3
4,5,1,4,1,4,52,3345,4,3
3,3,0,5,1,4,67,287,5,1
3,3,0,1,1,2,44,547,1,1
4,1,0,4,1,3,42,198,5,1
4,1,0,2,1,5,50,641,4,1
5,2,1,4,1,4,53,2096,5,3
4,4,1,3,1,3,50,3938,5,3
1,1,0,3,1,3,28,522,3,1
3,3,1,5,1,5,44,1788,4,3
5,5,1,3,1,5,50,3845,5,3
2,2,1,3,0,5,29,1389,2,3
3,4,0,4,1,3,44,594,4,3
4,3,1,3,1,3,45,296,4,1
5,2,1,4,1,3,45,2374,4,3
4,1,1,5,1,3,56,1581,4,3
4,5,1,5,0,4,25,1521,4,3
5,2,1,4,1,3,56,2480,5,3
4,4,1,4,1,3,51,2263,4,3
1,1,0,5,1,2,70,868,1,1
3,3,1,2,0,4,30,679,2,1
2,2,0,3,1,5,34,861,5,1
2,2,0,3,1,4,70,888,3,2
4,1,1,5,1,3,52,3247,4,3
3,3,1,3,0,1,27,712,3,1
4,2,1,3,1,3,21,1452,3,3
5,5,0,4,1,5,29,351,4,2
4,4,1,4,0,4,39,140,2,3
5,1,1,4,1,3,50,3720,4,3
4,4,1,3,0,3,38,1121,3,3
3,3,1,3,1,3,37,101,3,1
3,3,0,3,1,4,51,1475,3,1
3,3,0,3,1,3,18,946,3,1
3,3,1,4,1,2,45,1744,4,1
3,3,0,5,1,3,33,483,5,1
4,1,1,4,1,2,51,3269,5,3
4,4,1,4,1,5,37,383,4,2
4,3,1,3,1,4,36,3341,3,3
2,4,0,1,1,2,42,236,2,1
5,2,1,5,1,4,56,447,5,3
4,2,1,4,1,4,57,2486,4,3
2,5,0,4,1,3,54,1605,3,1
5,5,1,3,0,3,27,259,3,3
3,3,1,5,0,3,27,896,2,1
3,3,0,2,1,3,23,1590,2,1
1,1,1,1,1,1,68,253,1,1
2,2,0,4,1,4,59,432,1,1
4,4,1,4,1,3,31,86,4,2
0,0,1,3,0,3,29,1522,3,3
5,5,1,4,1,3,51,2573,5,3
3,3,1,2,0,4,29,1501,1,1
3,3,1,2,0,3,44,995,3,1
5,1,1,4,1,3,41,2047,4,3
2,2,1,2,0,4,24,1204,2,1
4,2,1,5,1,4,55,507,5,3
4,2,0,5,1,4,57,432,4,2
2,2,0,4,1,3,28,833,4,1
4,4,0,5,1,3,20,911,1,3
5,2,1,4,1,4,41,2562,4,3
4,4,1,4,1,2,29,618,4,2
4,2,1,5,1,1,34,170,4,3
2,3,1,3,0,3,36,1249,3,1
4,1,1,3,1,4,56,2655,4,3
4,2,1,4,1,5,40,2561,5,3
4,3,1,3,1,2,34,3131,3,3
4,2,1,5,1,3,44,2951,5,3
3,2,1,3,0,2,25,735,4,3
4,4,1,4,0,4,22,190,3,1
1,1,1,1,0,5,22,944,1,1
2,2,1,2,0,1,44,282,2,3
5,5,1,5,1,1,44,399,5,1
2,1,0,1,1,2,40,2611,2,1
1,1,0,2,1,1,13,436,2,2
4,1,1,4,1,5,31,677,4,3
3,4,0,1,1,5,59,516,1,1
5,4,0,3,1,3,60,1050,5,1
3,3,1,3,1,2,52,334,3,1
4,5,1,4,1,4,40,630,5,3
1,1,1,1,1,4,71,239,1,1
5,2,1,4,1,4,48,1488,5,3
3,3,1,3,1,4,46,451,3,1
4,4,1,4,0,5,34,551,4,3
3,3,1,5,0,3,28,308,5,3
4,4,1,3,1,2,65,581,4,1
5,4,1,5,1,5,51,204,5,3
2,2,1,2,1,2,46,262,3,1
3,2,1,2,1,1,59,3380,3,3
5,5,1,5,1,4,45,3776,5,3
3,3,1,3,1,4,38,192,3,1
4,4,0,1,1,3,18,1096,1,1
1,1,1,3,0,3,27,1214,3,1
5,3,1,5,1,2,31,341,5,1
2,2,0,4,1,4,21,1303,4,1
4,2,1,5,1,5,46,1532,5,3
3,2,0,2,1,3,45,255,3,1
4,1,0,5,1,4,49,1144,4,1
3,3,0,3,1,2,36,429,3,1
1,1,0,5,1,4,56,867,5,2
1,5,1,4,1,5,34,2429,4,3
2,2,0,3,1,4,35,584,3,1
5,1,0,1,1,3,66,396,5,3
1,1,0,3,1,4,30,475,1,1
3,3,1,3,1,3,35,604,3,1
4,4,1,2,1,4,41,3965,4,3
4,5,1,4,1,3,45,417,4,3
1,1,0,2,1,2,47,137,2,1
1,1,1,3,0,3,24,1069,1,1
3,3,0,5,1,3,31,1744,5,2
5,5,1,5,1,3,44,3771,5,3
5,3,1,5,1,5,59,600,5,3
1,1,0,2,1,1,20,1384,2,1
3,3,1,3,0,4,22,2342,3,1
1,2,1,2,1,4,47,191,1,3
2,2,1,5,0,5,27,912,4,1
3,3,0,3,1,2,19,1670,3,3
3,3,0,1,1,1,55,748,2,1
3,3,1,3,1,4,53,524,4,1
5,5,1,5,1,4,28,312,5,3
3,1,1,5,1,2,33,3550,4,3
5,5,1,5,1,3,56,2565,5,3
2,2,1,2,0,3,37,334,2,3
5,2,1,5,1,3,57,2125,4,3
4,4,1,4,1,3,53,337,4,1
5,2,1,5,1,4,42,1086,5,3
2,2,1,4,0,3,20,770,5,1
2,3,1,4,0,4,32,316,4,3
2,2,1,2,0,4,42,761,2,3
1,1,0,5,1,1,45,397,5,1
4,4,0,4,1,1,47,2350,4,1
4,3,1,3,1,1,37,3391,4,3
4,1,1,5,1,3,47,3777,4,3
1,1,1,1,0,1,65,419,1,3
2,2,1,2,1,3,26,696,1,1
3,3,1,3,0,5,13,946,3,1
4,3,1,5,1,4,47,226,5,3
5,4,1,3,1,4,42,833,5,3
3,3,1,3,1,2,31,2548,3,3
